time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-10 00:00:00+00:00,1,1,,
2023-01-11 00:00:00+00:00,9,7,14.0,7.0
2023-01-12 00:00:00+00:00,2,2,18.0,4.0
2023-01-13 00:00:00+00:00,3,3,22.0,6.0
2023-01-14 00:00:00+00:00,5,4,1.0,1.0
2023-01-15 00:00:00+00:00,3,3,2.0,1.0
2023-01-16 00:00:00+00:00,4,4,12.0,4.0
2023-01-17 00:00:00+00:00,1,1,10.0,5.0
2023-01-18 00:00:00+00:00,7,5,,
2023-01-19 00:00:00+00:00,2,2,3.0,2.0
2023-01-20 00:00:00+00:00,1,1,6.0,4.0
2023-01-21 00:00:00+00:00,1,1,1.0,1.0
2023-01-22 00:00:00+00:00,2,2,,
2023-01-23 00:00:00+00:00,2,2,,
